Hardware Time,Global Time\Signal,CAN1.EEC1.Engine_Speed,CAN1.EEC2.Accel_Pedal_Pos,CAN1.CCVS1.Vehicle_Speed,CAN1.LFE.Engine_Fuel_Rate,CAN1.LFE.Engine_Inst_Fuel_Economy,Raw Data
3.375981,2026-07-29 10:07:09.968,0,,,,,CAN=3.375981 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.38601,2026-07-29 10:07:09.979,0,,,,,CAN=3.38601 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.396043,2026-07-29 10:07:09.989,0,,,,,CAN=3.396043 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.406079,2026-07-29 10:07:09.999,0,,,,,CAN=3.406079 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.406661,2026-07-29 10:07:09.999,,0,,,,CAN=3.406661 Rx 0 $0CF00300 D 8 FF 00 FF FF FF FF FF FF 
3.407252,2026-07-29 10:07:10.000,,,0,,,CAN=3.407252 Rx 0 $18FEF100 D 8 FF 00 00 FF FF FF FF FF 
3.407846,2026-07-29 10:07:10.000,,,,0,0,CAN=3.407846 Rx 0 $18FEF200 D 8 00 00 00 00 FF FF FF FF 
3.416109,2026-07-29 10:07:10.009,0,,,,,CAN=3.416109 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.426137,2026-07-29 10:07:10.019,0,,,,,CAN=3.426137 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.436169,2026-07-29 10:07:10.029,0,,,,,CAN=3.436169 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.446201,2026-07-29 10:07:10.039,0,,,,,CAN=3.446201 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.456234,2026-07-29 10:07:10.049,0,,,,,CAN=3.456234 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.456816,2026-07-29 10:07:10.049,,0,,,,CAN=3.456816 Rx 0 $0CF00300 D 8 FF 00 FF FF FF FF FF FF 
3.46627,2026-07-29 10:07:10.059,0,,,,,CAN=3.46627 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.476303,2026-07-29 10:07:10.069,0,,,,,CAN=3.476303 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.486335,2026-07-29 10:07:10.079,0,,,,,CAN=3.486335 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.496368,2026-07-29 10:07:10.089,0,,,,,CAN=3.496368 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.5064,2026-07-29 10:07:10.099,0,,,,,CAN=3.5064 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.506982,2026-07-29 10:07:10.099,,0,,,,CAN=3.506982 Rx 0 $0CF00300 D 8 FF 00 FF FF FF FF FF FF 
3.507572,2026-07-29 10:07:10.100,,,0,,,CAN=3.507572 Rx 0 $18FEF100 D 8 FF 00 00 FF FF FF FF FF 
3.508166,2026-07-29 10:07:10.101,,,,0,0,CAN=3.508166 Rx 0 $18FEF200 D 8 00 00 00 00 FF FF FF FF 
3.516425,2026-07-29 10:07:10.109,0,,,,,CAN=3.516425 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.526465,2026-07-29 10:07:10.119,0,,,,,CAN=3.526465 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.536493,2026-07-29 10:07:10.129,0,,,,,CAN=3.536493 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.546524,2026-07-29 10:07:10.139,0,,,,,CAN=3.546524 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.556556,2026-07-29 10:07:10.149,0,,,,,CAN=3.556556 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.557138,2026-07-29 10:07:10.150,,0,,,,CAN=3.557138 Rx 0 $0CF00300 D 8 FF 00 FF FF FF FF FF FF 
3.566589,2026-07-29 10:07:10.159,0,,,,,CAN=3.566589 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.576621,2026-07-29 10:07:10.169,0,,,,,CAN=3.576621 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.586654,2026-07-29 10:07:10.179,0,,,,,CAN=3.586654 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.596682,2026-07-29 10:07:10.189,0,,,,,CAN=3.596682 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.606715,2026-07-29 10:07:10.199,0,,,,,CAN=3.606715 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.607297,2026-07-29 10:07:10.200,,0,,,,CAN=3.607297 Rx 0 $0CF00300 D 8 FF 00 FF FF FF FF FF FF 
3.607887,2026-07-29 10:07:10.200,,,0,,,CAN=3.607887 Rx 0 $18FEF100 D 8 FF 00 00 FF FF FF FF FF 
3.608481,2026-07-29 10:07:10.201,,,,0,0,CAN=3.608481 Rx 0 $18FEF200 D 8 00 00 00 00 FF FF FF FF 
3.616752,2026-07-29 10:07:10.209,0,,,,,CAN=3.616752 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.626784,2026-07-29 10:07:10.219,0,,,,,CAN=3.626784 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.636817,2026-07-29 10:07:10.229,0,,,,,CAN=3.636817 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.64685,2026-07-29 10:07:10.239,0,,,,,CAN=3.64685 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.656878,2026-07-29 10:07:10.249,0,,,,,CAN=3.656878 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.657461,2026-07-29 10:07:10.250,,0,,,,CAN=3.657461 Rx 0 $0CF00300 D 8 FF 00 FF FF FF FF FF FF 
3.666908,2026-07-29 10:07:10.259,0,,,,,CAN=3.666908 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.676945,2026-07-29 10:07:10.269,0,,,,,CAN=3.676945 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.686978,2026-07-29 10:07:10.279,0,,,,,CAN=3.686978 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.697012,2026-07-29 10:07:10.290,0,,,,,CAN=3.697012 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.707045,2026-07-29 10:07:10.300,0,,,,,CAN=3.707045 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.707627,2026-07-29 10:07:10.300,,0,,,,CAN=3.707627 Rx 0 $0CF00300 D 8 FF 00 FF FF FF FF FF FF 
3.708217,2026-07-29 10:07:10.301,,,0,,,CAN=3.708217 Rx 0 $18FEF100 D 8 FF 00 00 FF FF FF FF FF 
3.708812,2026-07-29 10:07:10.301,,,,0,0,CAN=3.708812 Rx 0 $18FEF200 D 8 00 00 00 00 FF FF FF FF 
3.71708,2026-07-29 10:07:10.310,0,,,,,CAN=3.71708 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.727113,2026-07-29 10:07:10.320,0,,,,,CAN=3.727113 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.737143,2026-07-29 10:07:10.330,0,,,,,CAN=3.737143 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.747175,2026-07-29 10:07:10.340,0,,,,,CAN=3.747175 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.757208,2026-07-29 10:07:10.350,0,,,,,CAN=3.757208 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.75779,2026-07-29 10:07:10.350,,0,,,,CAN=3.75779 Rx 0 $0CF00300 D 8 FF 00 FF FF FF FF FF FF 
3.767241,2026-07-29 10:07:10.360,0,,,,,CAN=3.767241 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.777274,2026-07-29 10:07:10.370,0,,,,,CAN=3.777274 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.787307,2026-07-29 10:07:10.380,0,,,,,CAN=3.787307 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.797339,2026-07-29 10:07:10.390,0,,,,,CAN=3.797339 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.807368,2026-07-29 10:07:10.400,0,,,,,CAN=3.807368 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.80795,2026-07-29 10:07:10.400,,0,,,,CAN=3.80795 Rx 0 $0CF00300 D 8 FF 00 FF FF FF FF FF FF 
3.80854,2026-07-29 10:07:10.401,,,0,,,CAN=3.80854 Rx 0 $18FEF100 D 8 FF 00 00 FF FF FF FF FF 
3.809134,2026-07-29 10:07:10.402,,,,0,0,CAN=3.809134 Rx 0 $18FEF200 D 8 00 00 00 00 FF FF FF FF 
3.817405,2026-07-29 10:07:10.410,0,,,,,CAN=3.817405 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
3.827439,2026-07-29 10:07:10.420,0,,,,,CAN=3.827439 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
